197.2,42.3
155.5,91.2
157.6,96.5
159.7,106.8
155.4,71.9
159.1,75.2
189.4,114.2
183.4,59.6
173.3,49.3
146.4,44.4
194.6,115.1
158.0,67.2
188.0,80.0
157.7,44.8
193.6,118.5
191.0,84.0
143.1,106.3
156.5,112.0
145.2,109.2
163.1,55.5
194.1,72.3
155.7,44.2
141.6,62.9
181.5,71.2
162.5,50.3
173.4,86.9
158.3,108.2
191.1,96.8
192.4,94.7
160.1,79.6
160.7,47.6
159.5,48.3
160.3,76.6
140.9,71.8
163.5,42.1
147.9,79.2
197.8,52.6
174.6,51.1
144.6,88.8
183.6,62.3
157.7,76.9
188.6,68.6
197.8,47.6
199.8,111.3
190.7,51.1
156.8,107.7
155.5,114.5
150.4,112.6
169.8,49.7
187.3,94.7
165.9,49.7
171.5,43.3
156.5,102.3
194.8,65.8
181.7,112.1
158.6,96.6
151.3,76.0
187.4,64.2
194.7,77.0
183.4,95.3
142.8,62.3
188.2,59.3
144.7,53.1
187.8,69.3
176.8,106.2
161.9,69.2
172.3,82.5
183.9,56.7
190.0,90.0
159.9,105.0
179.1,71.6
187.1,43.7
157.3,57.1
179.4,87.0
197.6,74.5
154.0,50.1
183.2,93.5
165.5,49.4
178.4,81.0
169.2,69.6
184.6,76.8
167.7,119.3
178.7,50.1
157.5,88.7
158.1,46.4
187.4,111.4
197.3,112.9
151.6,41.6
186.6,68.9
143.5,117.5
177.2,77.5
158.8,78.0
188.3,103.8
198.3,104.2
178.3,68.2
144.1,79.9
194.8,74.6
172.7,91.3
152.5,91.5
140.1,47.1
186.1,119.5
194.1,72.3
184.3,112.5
178.5,78.1
164.3,104.8
188.7,66.5
187.4,69.7
171.7,110.0
143.1,44.4
155.0,86.1
186.0,117.6
169.0,75.0
198.8,89.6
190.2,101.5
174.0,108.5
174.5,96.3
167.2,51.5
168.2,40.2
175.2,68.6
153.7,90.8
176.5,90.3
181.5,70.5
188.9,62.8
182.0,70.5
191.4,79.4
199.8,83.1
167.8,116.2
